TWEETS,KEYWORDS,FINE-GRAINED,REASONS
"My friend is a victim now. Long story short: there is this lecturer who is eating this girl in my friendâ€™s class and unfortunately THE GIRL is not in good terms with my friend, so we did some digging and found out THE GIRL had influenced the lecture to eitherâ€¦","lecturer, girl, influence, victim",concerned,The tweet narrates a complicated situation involving a lecturer and a student.
Cos weâ€™re living in a part of the world where a question or a challenge from the young to the old is regarded as disrespect.â˜ºï¸,"world, question, challenge, disrespect",concerned,The tweet discusses the cultural dynamics of questioning authority.
It would end you up being deducted because they will say they awarded you marks so is not easy to go for remarking,"deducted, awarded marks, remarking",concerned,The tweet explains the potential consequences of remarking.
"While you want to go remarking for one, you are saying 3y3 adom that you passed the other subject.","remarking, passed, subject",concerned,The tweet highlights the complexity of exam result situations.
Students who strongly feel that their academic results do not reflect their efforts should tap on the link below for the procedures for Re-Marking of Examination Script in KNUST,"academic results, efforts, Re-Marking, Examination Script",concerned,The tweet encourages students to consider exam script remarking.
"This thing is like someone buying something and he/she is being given a balance. When the balance is not up then fast they go back to the store owner but when the balance is more than what should have been given, you see it's hard to go back.","buying, balance, store owner",concerned,The tweet uses an analogy to discuss the reluctance to seek remarking when results seem too high.
"Sometimes we got to appreciate the good things some of the Lecturers dey do give we lowkey instead of what some dey do to hurt us. Everytime lecturer Mafia students, ena registration, ena deferred. The people wey dey give them information nor tellem to also share the good ones","appreciate, good things, Lecturers, hurt",appreciative,The tweet suggests appreciating the good actions of some lecturers.
Please I want to ask something is it fair to release our results within a week to mid-semester exams and why not a month or months to mid-semester exams,"release results, mid-semester exams, fair",concerned,The tweet questions the timing of result releases before mid-semester exams.
And yet some departments are yet to release their results,"departments, release results",frustrated,The tweet points out delays in result releases by certain departments.
"I don't think they intentionally do that because the release of results takes a long process. First is the marking, then accumulation of results (midsem + end of semester), auditing and board meetings , Charlie it's not simple like that","release results, marking, accumulation, auditing, board meetings",informed,The tweet explains the process of result release.
Do you think itâ€™s fair to release results when you have few days to write another exams,"fair, release results, few days, write exams",concerned,The tweet questions the fairness of releasing results shortly before upcoming exams.
This thing ebi fooling paaa them no no what some of the students they go through errr. The person rep paper you give am 20% ei. If he no get money so he fail that. Sometimes I feel say lecturers they shedda,"fooling, students, rep paper, fail, lecturers",frustrated,The tweet discusses the challenges students face regarding results and grading.
We don't have that heart masa,heart,concerned,The tweet expresses reluctance to seek exam script remarking.
Massa thus more dangerous than the exam oo sekof more scrutiny in ur work,"dangerous, exam, scrutiny, work",concerned,The tweet suggests that remarking can be more challenging than the exam itself due to increased scrutiny.
I get problem plus one of my Politics lecturers concerning this but vim..,"problem, Politics lecturer, vim",determined,The tweet indicates determination to address a concern with a lecturer.
You go challenge the spirit,"challenge, spirit",humorous,The tweet humorously suggests challenging a supernatural entity.
"It is important to know, that the course lecturer has nothing to do with the remarking. It is done by some other lecturer from the department based on the marking scheme collected from the course lecturer.","course lecturer, remarking, marking scheme",informative,The tweet provides information about the remarking process.
Just dey play,play,casual,The tweet implies not taking remarking seriously.
This thing hm If there is a easy way we can do this and even pay that will be even great,"easy way, pay",hopeful,The tweet expresses a desire for an easier remarking process.
â€œThis CWA thing is one of the ultimate causes of depression for most KNUST Studentsâ€ðŸ’”ðŸ’”,"CWA, ultimate causes, depression, KNUST Students",concerned,The tweet suggests that the Cumulative Weighted Average (CWA) contributes to student depression.
This is very true,TRUE,agreement,The tweet agrees with a previous statement.
Outside hot. They should focus on networking and building personal skills. CWA be things.,"Outside hot, networking, personal skills, CWA",advice,The tweet advises students to focus on networking and skills.
70 is A & it causes depression. Lazy students.,"70, A, depression, lazy students",critical,The tweet criticizes the grading system and implies that achieving a high grade causes depression.
So cancel examinations jorr. Make we go lectures we finish aa then we vac go house. Everybody wins,"cancel examinations, lectures, vac",sarcastic,The tweet sarcastically suggests canceling exams in favor of lectures and vacation.
